CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
10,C,2016,0.114,9
10,C,2017,0.271,9
10,C,2018,0.376,9
10,C,2019,0.523,9
11,C,2008,0.248,9
11,C,2009,0.328,9
11,C,2010,0.45,9
11,C,2011,0.419,9
11,C,2012,0.214,9
11,C,2013,0.356,9
11,C,2014,0.52,9
11,C,2015,0.477,9
11,C,2016,0.423,9
11,C,2017,0.376,9
11,C,2018,0.581,9
11,C,2019,0.55,9
12,C,2008,0.521,9
12,C,2009,0.483,9
12,C,2010,0.58,9
12,C,2011,0.552,9
12,C,2012,0.52,9
12,C,2013,0.673,9
12,C,2014,0.58,9
12,C,2015,0.523,9
12,C,2016,0.423,9
12,C,2017,0.383,9
12,C,2018,0.641,9
12,C,2019,0.613,9
13,C,2008,0.197,9
13,C,2009,0.207,9
13,C,2010,0.2,9
13,C,2011,0.219,9
13,C,2012,0.082,9
13,C,2013,0.218,9
13,C,2014,0.11,9
13,C,2015,0.135,9
13,C,2016,0.22,9
13,C,2017,0.083,9
13,C,2018,0.154,9
13,C,2019,0.198,9
14,C,2008,0.65,9
14,C,2009,0.733,9
14,C,2010,0.73,9
14,C,2011,0.657,9
14,C,2012,0.643,9
14,C,2013,0.634,9
14,C,2014,0.53,9
14,C,2015,0.514,9
14,C,2016,0.496,9
14,C,2017,0.383,9
14,C,2018,0.521,9
14,C,2019,0.568,9
15,C,2008,0.556,9
15,C,2009,0.612,9
15,C,2010,0.78,9
15,C,2011,0.657,9
15,C,2012,0.602,9
15,C,2013,0.644,9
15,C,2014,0.64,9
15,C,2015,0.505,9
15,C,2016,0.48,9
15,C,2017,0.391,9
15,C,2018,0.521,9
15,C,2019,0.486,9
16,C,2008,0.453,9
16,C,2009,0.466,9
16,C,2010,0.51,9
16,C,2011,0.524,9
16,C,2012,0.347,9
16,C,2013,0.396,9
16,C,2014,0.3,9
16,C,2015,0.315,9
16,C,2016,0.341,9
16,C,2017,0.278,9
16,C,2018,0.444,9
16,C,2019,0.441,9
17,C,2008,1,9
17,C,2009,1,9
17,C,2010,1,9
17,C,2011,1,9
17,C,2012,1,9
17,C,2013,1,9
17,C,2014,1,9
17,C,2015,1,9
17,C,2016,1,9
17,C,2017,1,9
17,C,2018,1,9
17,C,2019,1,9
1,C,2008,0.354,10
1,C,2009,0.357,10
1,C,2010,0.422,10
1,C,2011,0.417,10
1,C,2012,0.343,10
1,C,2013,0.359,10
1,C,2014,0.358,10
1,C,2015,0.344,10
1,C,2016,0.336,10
1,C,2017,0.308,10
1,C,2018,0.394,10
1,C,2019,0.364,10
2,C,2008,0.378,10
2,C,2009,0.333,10
2,C,2010,0.45,10
2,C,2011,0.478,10
2,C,2012,0.37,10
2,C,2013,0.369,10
2,C,2014,0.358,10
2,C,2015,0.303,10
2,C,2016,0.29,10
2,C,2017,0.267,10
2,C,2018,0.307,10
2,C,2019,0.288,10
3,C,2008,0,10
3,C,2009,0,10
3,C,2010,0,10
3,C,2011,0,10
3,C,2012,0,10
3,C,2013,0,10
3,C,2014,0,10
3,C,2015,0,10
3,C,2016,0,10
3,C,2017,0,10
3,C,2018,0,10
3,C,2019,0,10
4,C,2008,0.094,10
4,C,2009,0.171,10
4,C,2010,0.248,10
4,C,2011,0.2,10
4,C,2012,0.231,10
4,C,2013,0.175,10
4,C,2014,0.189,10
4,C,2015,0.254,10
4,C,2016,0.237,10
4,C,2017,0.171,10
4,C,2018,0.197,10
4,C,2019,0.11,10
5,C,2008,0.315,10
5,C,2009,0.388,10
5,C,2010,0.486,10
5,C,2011,0.539,10
5,C,2012,0.528,10
5,C,2013,0.505,10
5,C,2014,0.434,10
5,C,2015,0.393,10
5,C,2016,0.427,10
5,C,2017,0.37,10
5,C,2018,0.567,10
5,C,2019,0.5,10
6,C,2008,0.087,10
6,C,2009,0.171,10
6,C,2010,0.239,10
6,C,2011,0.183,10
6,C,2012,0.046,10
6,C,2013,0.107,10
6,C,2014,0.198,10
6,C,2015,0.18,10
6,C,2016,0.145,10
6,C,2017,0.185,10
6,C,2018,0.291,10
6,C,2019,0.229,10
7,C,2008,0.15,10
7,C,2009,0.194,10
7,C,2010,0.193,10
7,C,2011,0.209,10
7,C,2012,0.13,10
7,C,2013,0.136,10
7,C,2014,0.226,10
7,C,2015,0.27,10
7,C,2016,0.267,10
7,C,2017,0.178,10
7,C,2018,0.236,10
7,C,2019,0.271,10
8,C,2008,0.394,10
8,C,2009,0.349,10
8,C,2010,0.44,10
8,C,2011,0.461,10
8,C,2012,0.361,10
8,C,2013,0.282,10
8,C,2014,0.151,10
8,C,2015,0.221,10
8,C,2016,0.214,10
8,C,2017,0.24,10
8,C,2018,0.26,10
8,C,2019,0.212,10
9,C,2017,0.336,10
9,C,2018,0.48,10
9,C,2019,0.5,10
10,C,2008,0.409,10
10,C,2009,0.388,10
10,C,2010,0.45,10
10,C,2011,0.417,10
10,C,2012,0.361,10
10,C,2013,0.398,10
10,C,2014,0.462,10
10,C,2015,0.443,10
10,C,2016,0.42,10
10,C,2017,0.397,10
10,C,2018,0.496,10
10,C,2019,0.449,10
11,C,2008,0.181,10
11,C,2009,0.256,10
11,C,2010,0.156,10
11,C,2011,0.148,10
11,C,2012,0.093,10
11,C,2013,0.019,10
11,C,2014,0.019,10
11,C,2015,0.131,10
11,C,2016,0.153,10
11,C,2017,0.322,10
11,C,2018,0.394,10
11,C,2019,0.483,10
12,C,2008,0.299,10
12,C,2009,0.38,10
12,C,2010,0.477,10
12,C,2011,0.435,10
12,C,2012,0.269,10
12,C,2013,0.379,10
12,C,2014,0.5,10
12,C,2015,0.5,10
12,C,2016,0.443,10
12,C,2017,0.432,10
12,C,2018,0.598,10
12,C,2019,0.534,10
13,C,2008,0.535,10
13,C,2009,0.465,10
13,C,2010,0.541,10
13,C,2011,0.565,10
13,C,2012,0.519,10
13,C,2013,0.641,10
13,C,2014,0.538,10
13,C,2015,0.492,10
13,C,2016,0.42,10
13,C,2017,0.411,10
13,C,2018,0.614,10
13,C,2019,0.602,10
14,C,2008,0.244,10
14,C,2009,0.279,10
14,C,2010,0.248,10
14,C,2011,0.27,10
14,C,2012,0.148,10
14,C,2013,0.243,10
14,C,2014,0.151,10
14,C,2015,0.238,10
14,C,2016,0.282,10
14,C,2017,0.158,10
14,C,2018,0.205,10
14,C,2019,0.229,10
15,C,2008,0.669,10
15,C,2009,0.767,10
15,C,2010,0.734,10
15,C,2011,0.678,10
15,C,2012,0.676,10
15,C,2013,0.631,10
15,C,2014,0.519,10
15,C,2015,0.533,10
15,C,2016,0.496,10
15,C,2017,0.397,10
15,C,2018,0.528,10
15,C,2019,0.576,10
16,C,2008,0.583,10
16,C,2009,0.605,10
16,C,2010,0.734,10
16,C,2011,0.643,10
16,C,2012,0.583,10
16,C,2013,0.583,10
16,C,2014,0.613,10
16,C,2015,0.5,10
16,C,2016,0.473,10
16,C,2017,0.425,10
16,C,2018,0.465,10
16,C,2019,0.432,10
17,C,2008,0.48,10
17,C,2009,0.457,10
17,C,2010,0.495,10
17,C,2011,0.539,10
17,C,2012,0.398,10
17,C,2013,0.408,10
17,C,2014,0.33,10
17,C,2015,0.352,10
17,C,2016,0.336,10
17,C,2017,0.315,10
17,C,2018,0.449,10
17,C,2019,0.398,10
18,C,2008,1,10
18,C,2009,1,10
18,C,2010,1,10
18,C,2011,1,10
18,C,2012,1,10
18,C,2013,1,10
18,C,2014,1,10
18,C,2015,1,10
18,C,2016,1,10
18,C,2017,1,10
18,C,2018,1,10
18,C,2019,1,10
0,C,2008,0.318,11
0,C,2009,0.31,11
0,C,2010,0.406,11
0,C,2011,0.433,11
0,C,2012,0.433,11
0,C,2013,0.435,11
0,C,2014,0.444,11
0,C,2015,0.424,11
0,C,2016,0.429,11
0,C,2017,0.333,11
0,C,2018,0.357,11
0,C,2019,0.261,11
1,C,2008,0,11
1,C,2009,0,11
1,C,2010,0.094,11
1,C,2011,0.067,11
1,C,2012,0.1,11
1,C,2013,0.087,11
1,C,2014,0.111,11
1,C,2015,0.242,11
1,C,2016,0.25,11
1,C,2017,0.037,11
1,C,2018,0,11
1,C,2019,0,11
2,C,2008,0.045,11
2,C,2009,0.069,11
2,C,2010,0.437,11
2,C,2011,0.367,11
2,C,2012,0.2,11
2,C,2013,0.13,11
2,C,2014,0.333,11
2,C,2015,0.273,11
2,C,2016,0.357,11
2,C,2017,0,11
2,C,2018,0.25,11
2,C,2019,0.304,11
3,C,2008,0.091,11
3,C,2009,0.069,11
3,C,2010,0.312,11
3,C,2011,0.333,11
3,C,2012,0.4,11
