CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
4,I,2010,0.991,19
4,I,2011,0.99,19
4,I,2012,0.984,19
4,I,2013,0.991,19
4,I,2014,0.988,19
4,I,2015,0.991,19
4,I,2016,0.993,19
4,I,2017,0.995,19
4,I,2018,0.995,19
4,I,2019,0.996,19
5,I,2009,0.924,19
5,I,2010,0.929,19
5,I,2011,0.936,19
5,I,2012,0.923,19
5,I,2013,0.932,19
5,I,2014,0.954,19
5,I,2015,0.964,19
5,I,2016,0.967,19
5,I,2017,0.974,19
5,I,2018,0.974,19
5,I,2019,0.977,19
6,I,2009,0.93,19
6,I,2010,0.928,19
6,I,2011,0.926,19
6,I,2012,0.887,19
6,I,2013,0.89,19
6,I,2014,0.935,19
6,I,2015,0.944,19
6,I,2016,0.942,19
6,I,2017,0.953,19
6,I,2018,0.953,19
6,I,2019,0.954,19
7,I,2009,0.943,19
7,I,2010,0.95,19
7,I,2011,0.955,19
7,I,2012,0.949,19
7,I,2013,0.955,19
7,I,2014,0.969,19
7,I,2015,0.978,19
7,I,2016,0.981,19
7,I,2017,0.985,19
7,I,2018,0.985,19
7,I,2019,0.986,19
8,I,2009,0.931,19
8,I,2010,0.935,19
8,I,2011,0.939,19
8,I,2012,0.932,19
8,I,2013,0.935,19
8,I,2014,0.951,19
8,I,2015,0.961,19
8,I,2016,0.966,19
8,I,2017,0.971,19
8,I,2018,0.969,19
8,I,2019,0.971,19
9,I,2009,0.924,19
9,I,2010,0.929,19
9,I,2011,0.936,19
9,I,2012,0.923,19
9,I,2013,0.932,19
9,I,2014,0.954,19
9,I,2015,0.964,19
9,I,2016,0.967,19
9,I,2017,0.974,19
9,I,2018,0.974,19
9,I,2019,0.977,19
10,I,2009,0.959,19
10,I,2010,0.966,19
10,I,2011,0.976,19
10,I,2012,0.955,19
10,I,2013,0.967,19
10,I,2014,0.97,19
10,I,2015,0.983,19
10,I,2016,0.982,19
10,I,2017,0.991,19
10,I,2018,0.989,19
10,I,2019,0.991,19
11,I,2009,1,19
11,I,2010,1,19
11,I,2011,1,19
11,I,2012,1,19
11,I,2013,1,19
11,I,2014,1,19
11,I,2015,1,19
11,I,2016,1,19
11,I,2017,1,19
11,I,2018,1,19
11,I,2019,1,19
12,I,2009,0.982,19
12,I,2010,0.983,19
12,I,2011,0.977,19
12,I,2012,0.969,19
12,I,2013,0.978,19
12,I,2014,0.99,19
12,I,2015,0.989,19
12,I,2016,0.993,19
12,I,2017,0.993,19
12,I,2018,0.994,19
12,I,2019,0.994,19
13,I,2009,0.996,19
13,I,2010,0.999,19
13,I,2011,0.997,19
13,I,2012,0.997,19
13,I,2013,0.995,19
13,I,2014,0.997,19
13,I,2015,0.997,19
13,I,2016,0.998,19
13,I,2017,0.998,19
13,I,2018,0.998,19
13,I,2019,0.998,19
14,I,2009,0.924,19
14,I,2010,0.929,19
14,I,2011,0.936,19
14,I,2012,0.923,19
14,I,2013,0.932,19
14,I,2014,0.954,19
14,I,2015,0.964,19
14,I,2016,0.967,19
14,I,2017,0.974,19
14,I,2018,0.988,19
14,I,2019,0.987,19
